Symbol	Description
2348.HK	Dawnrays Pharmaceutical (Holdings) Ltd
2349.HK	Wah Yuen Holdings Ltd
2355.HK	Baoye Group Co. Ltd
2356.HK	Dah Sing Banking Group Ltd
2357.HK	AviChina Industry & Technology Co. Ltd
2358.HK	Mitsumaru East Kit (Holdings) Ltd
2362.HK	Signal Media and Communications Holdings Ltd
2366.HK	SMI Culture Group Holdings Ltd
2368.HK	Eagle Nice (International) Holdings Ltd
2369.HK	China Wireless Technologies Ltd
2371.HK	ZZNode Technologies Co. Ltd
2378.HK	
2379.HK	Zhongtian International Ltd
2380.HK	China Power International Development Ltd
2382.HK	Sunny Optical Technology (Group) Ltd
2383.HK	TOM Group Ltd
2386.HK	
2388.HK	BOC Hong Kong (Holdings) Ltd
2389.HK	Wang Sing International Holdings Group Ltd
2393.HK	Yestar International
2398.HK	Good Friend International Holdings Inc.
2399.HK	
2488.HK	
2588.HK	
2600.HK	Aluminum Corporation of China Ltd
2601.HK	China Pacific Insurance (Group) Co Ltd
2607.HK	
2608.HK	
2623.HK	
2628.HK	China Life Insurance Co. Ltd
2633.HK	Nam Tai Electronic & Electrical Products Ltd
2638.HK	
2662.HK	Fittec International Group Ltd
2666.HK	Universal Medical Financial
2668.HK	Pak Tak International Ltd
2669.HK	China Overseas Property Holdings
2678.HK	Texhong Textile Group Ltd
2686.HK	Chen Xing
2688.HK	XinAo Gas Holdings Ltd
2689.HK	Nine Dragons Paper (Holdings) Ltd
2698.HK	Weiqiao Textile Co. Ltd
2699.HK	
2700.HK	Smart Union Group (Holdings) Ltd
2722.HK	Chongqing Machinery & Electric Ltd
2727.HK	Shanghai Electric Group Co. Ltd
2728.HK	Shinhint Acoustic Link Holdings Ltd
2738.HK	
2777.HK	Guangzhou R&F Properties Co. Ltd
2778.HK	Champion Real Estate Investment Trust
2788.HK	Yorkey Optical International (Cayman) Ltd
2789.HK	
2799.HK	
2800.HK	Tracker Fund of Hong Kong
2801.HK	Chang Hwa Commerciai Bank
2802.HK	iShares EM Asia
2805.HK	
2811.HK	
2816.HK	
2819.HK	ABF Hong Kong Bond Index Fund
2821.HK	ABF Pan Asia Bond Index
2822.HK	CSOP A50 ETF
2823.HK	iShares FTSE A50 China Index ETF
2825.HK	
2827.HK	Wise CSI200 EFT
2828.HK	Hang Seng H-Share Index ETF
2832.HK	
2833.HK	Hang Seng Index ETF
2835.HK	
2836.HK	iShares BSE SENSEX India Index
2838.HK	Hang Seng FTSE China 25 Index
2839.HK	
2840.HK	SPDR GOLD TRUST
2844.HK	DB X Trackers
2846.HK	iShares CSI 300 A-Share Index
2848.HK	
2866.HK	China Shipping Container Lines
2868.HK	Beijing Capital Land Ltd
2869.HK	
2877.HK	China Shineway Pharmaceutical Group Ltd
2878.HK	Solomon Systech (International) Ltd
2880.HK	Dalian Port (PDA) Co. Ltd
2882.HK	Ocean Grand Chemicals Holdings Ltd
2883.HK	China Oilfield Services Ltd
2886.HK	
2888.HK	Standard Chartered PLC
2898.HK	Long Far Pharmaceutical Holdings Ltd
2899.HK	Zijin Mining Group Co. Ltd
3007.HK	X DBFXIC25
3009.HK	
3015.HK	X DBSPCNXNIFTY
3020.HK	
3024.HK	
3027.HK	
3046.HK	VALUE CHINA ETF
3048.HK	X DBMSCIBRAZIL
3049.HK	X DBMSCIBRAZIL
3057.HK	X DBCSI300HEAL
3061.HK	X DBCSI300BANK
3063.HK	X DBCSI300TRANS
3070.HK	Ping An of China CSI HK Dividend ETF
3081.HK	VALUE GOLD ETF
3084.HK	Value Japan ETF
3085.HK	
3087.HK	X DBFTSEVIET
3092.HK	
3095.HK	
3101.HK	Vanguard FTSE Developed Europe ETF
3118.HK	
3126.HK	
3140.HK	
3141.HK	
3145.HK	
3147.HK	CSOP Chinext
3161.HK	
3188.HK	CAM CSI300
3199.HK	
3300.HK	China Glass Holdings Ltd
3301.HK	
3303.HK	Jutal Offshore Oil Services Ltd
3306.HK	
3308.HK	Golden Eagle Retail Group Ltd
3311.HK	China State Construction International Holdings Ltd
3313.HK	Meadville Holdings
3315.HK	Goldpac Group
3318.HK	China Flavors and Fragrances Co. Ltd
3320.HK	
3322.HK	Win Hanverky Holdings Ltd
3323.HK	China National Building Material Co. Ltd
3326.HK	Perfect Group International Holdings
3328.HK	Bank of Communications Co. Ltd
3330.HK	Lingbao Gold Co. Ltd
3331.HK	Vinda International Holdings Ltd
3332.HK	
3333.HK	Evergrande
3336.HK	Ju Teng International Holdings Ltd
3337.HK	Anton Oilfield Services Group
3339.HK	Lonking
3344.HK	Addchance Holdings Ltd
3355.HK	Advanced Semiconductor Manufacturing Corporation Ltd -H Shs
3360.HK	
3363.HK	
3366.HK	Huali Holdings (Group) Ltd
3368.HK	Parkson Retail Group Ltd
3369.HK	
3377.HK	Sino-Ocean Land Holdings
3378.HK	Xiamen International Port Co. Ltd
3380.HK	
3382.HK	Tianjin Port Development Holdings Ltd
3383.HK	Agile Property Holdings Ltd
3389.HK	Hengdeli Holding
3393.HK	Wasion Meters Group Ltd
3396.HK	
3398.HK	China Ting Group Holdings Ltd
3399.HK	Guangdong Nan Yue Logistics Co. Ltd
3600.HK	Modern Dental Group Limited
3606.HK	
3608.HK	
3618.HK	Chongqing Rural Commerical Bank Ltd
3623.HK	
3626.HK	
3628.HK	KBC Fin Products Int'l Ltd - Ping An European Wts Oct 2006
3633.HK	Macquarie Bank Ltd - HKEx European Warrants Oct 2006 A
3636.HK	KBC Fin Products Int'l Ltd - Ch Life Euro Put Wts Oct 2006
3638.HK	Deutsche Bank AG - China Mobile European Warrants Oct 2006 A
3639.HK	Deutsche Bank AG - Nikkei 225 Index European Wts Mar 2007 A
3663.HK	Xiezhong International
3666.HK	Macquarie Bank Ltd - HSI European Put Warrants Oct 2006 B
3668.HK	
3669.HK	China Yongda Automobiles
3678.HK	Holly Futures Co
3683.HK	CC Rabobank B.A. - Hutchison European Warrants Apr 2007
3686.HK	Cliffordml
3688.HK	
3689.HK	KBC Fin Products Int'l Ltd - HSBC European Put Wts Oct 2006
3698.HK	Deutsche Bank AG - HSI European Warrants Oct 2006 C
3708.HK	Yat Sing Holdings Limited
3709.HK	
3737.HK	
3773.HK	NNK Group Limited
3778.HK	
3788.HK	
3789.HK	Royal Deluxe
3799.HK	Dali Foods Group Company
3800.HK	GCL-Poly Energy
3808.HK	Sinotruk (Hong Kong) Ltd
3813.HK	ABN AMRO Bank N.V. - Sinopec Corp European Wts Nov 2006 C
3816.HK	KFM Kingdom Holdings
3818.HK	China Dongxiang (Group) Ltd
3822.HK	Sam Woo Cons
3823.HK	Macquarie Bank Ltd - HSI European Warrants Nov 2006
3828.HK	Macquarie Bank Ltd - Denway European Warrants Nov 2006
3833.HK	SGA Societe Generale Acceptance N.V. - PetCh Eu Wt Nov 06 A
3836.HK	
3838.HK	HK Bank - Jiangxi Copper European Warrants Jan 2007
3839.HK	Chia Tai Enterprises International
3866.HK	
3882.HK	Skylight Holdings
3883.HK	KBC Fin Products Int'l Ltd - HSBC European Wts Dec 2006 C
3886.HK	Macquarie Bank Ltd - Ch Life European Warrants Dec 2007 B
3888.HK	Kingsoft
3889.HK	KBC Fin Products Int'l Ltd - Ch Life Euro Wts Nov 2006 A
3893.HK	
3898.HK	Zhuzhou CSR Times Electric Ltd
3899.HK	Enric Energy Equipment Holdings Ltd
3900.HK	Greentown China Holdings Ltd
3903.HK	Hanhua Financial Holding
3908.HK	China International Capital Corporation
3918.HK	Nagacorp Ltd
3933.HK	The United Laboratories International Holdings Ltd
3939.HK	Wanguo International Mining
3948.HK	Inner Mongolia Coal
3958.HK	
3963.HK	China Rongzhong Financial Holdings
3966.HK	
3968.HK	China Merchants Bank Co
3969.HK	
3983.HK	China Bluechemical Ltd
3988.HK	Bank of China Ltd
3989.HK	Hembly International Holdings Ltd
3993.HK	China Molybdenum Ltd
3996.HK	China Energy Engineering Corporation
3998.HK	Bosideng International Holdings Ltd
3999.HK	DaChan Food (Asia) Ltd
4222.HK	
4228.HK	
6030.HK	
6068.HK	
6099.HK	
6108.HK	New Ray Medic
6116.HK	Shanghai La Chapelle Fashion
6118.HK	
6122.HK	
6123.HK	
6128.HK	Earthasia International Holdings Limited
6133.HK	
6136.HK	
6138.HK	
6139.HK	
6161.HK	Target Insurance Limited
6163.HK	Gemilang International
6166.HK	
6168.HK	
6169.HK	China YuHua Education Corp
6178.HK	
6183.HK	
6188.HK	Beijing Digital Telecom Co Ltd
6196.HK	
6198.HK	
6288.HK	
6808.HK	Sun Art Retail Group Ltd
6816.HK	
6818.HK	
6822.HK	Kings Flair
6823.HK	
6826.HK	
6828.HK	
6830.HK	
6833.HK	Sinco Pharmaceuticals Holdings
6836.HK	
6837.HK	
6838.HK	
6839.HK	
6858.HK	
6863.HK	Huishan Dairy
6865.HK	Flat Glass
6866.HK	Zuoli Kechuang Micro-finance
6868.HK	
6869.HK	
6878.HK	Differ Group Holding
6880.HK	
6881.HK	
6882.HK	
6886.HK	
6888.HK	
6889.HK	Dynam Japan Holdings
6893.HK	
6896.HK	
6898.HK	
6899.HK	Ourgame International Holdings Limited
8001.HK	Orient Securities International Holdings Limited
8003.HK	T S Telecom Technologies
8005.HK	Yuxing Infotech Holdings
8006.HK	China.com Inc
8007.HK	Digitalhongkong.com
8008.HK	Sunevision Holdings
8009.HK	Imerchants
8011.HK	China Agrotech Holdings
8012.HK	Far Eastern Polychem Industries
8015.HK	Qianlong Technology Int'l Holdings Ltd
8016.HK	China Data Broadcasting Holdings Ltd
8018.HK	Siic Medical Sci And Tech (group) Ltd
8019.HK	Everpride Biopharmaceutical Co Ltd
8020.HK	Wanasports Holdings Ltd
8021.HK	WLS Holdings Ltd
8022.HK	Argos Enterprise (holdings)
8023.HK	Henderson Cyber
8025.HK	Asian Information Resources (holding) Ltd
8026.HK	Prosten Technology Holdings
8027.HK	KPM Holding
8028.HK	Timeless Software
8029.HK	L.p. Lammas International
8030.HK	Digitel Group
8031.HK	Kinetana International Biotech Phama Ltd
8032.HK	Greaterchina Technology Group
8033.HK	Vodatel Networks Holdings
8035.HK	Wah Sang Gas Holdings
8037.HK	LONGLIFE GROUP
8038.HK	Golden power
8039.HK	Loulan Holdings Ltd
8041.HK	Intcera High Tech Group
8045.HK	Jiangsu Nandasoft Company
8046.HK	Tiger Tech Holdings Ltd
8047.HK	Rising Power Group Holdings Ltd
8048.HK	Excel Technology Int'l Holdings Ltd
8049.HK	Jilin Prov Huinan Changlong Bio-pharma
8050.HK	Flexsystem Holdings
8051.HK	TeleEye Holdings Ltd
8052.HK	Convenience Retail Asia
8053.HK	A & K Educational Software Holdings
8055.HK	Prosticks International Holdings Ltd
8056.HK	Differ Group
8057.HK	Datasys Technology Holdings Ltd
8058.HK	Shandong Luoxin Pharmacy Stock Co  Ltd
8059.HK	Glory Flame
8060.HK	Global Link Communications Holdings
8063.HK	Trasy Gold Ex
8066.HK	CardLink Technology Group Ltd
8067.HK	Ouc Holdings
8069.HK	Tong Ren Tang Technologies Co. Ltd.
8070.HK	Zhongyu Gas Holdings Ltd
8071.HK	E-silkroad Holdings
8072.HK	Media Partners International Holdings
80737.HK	
8075.HK	Rojam Entertainment Holdings
8076.HK	Sing Lee Software (group)
8077.HK	Infoserve Technology Corp
8078.HK	Emperor Entertainment Group
8079.HK	Rainbow International Holdings
8080.HK	Isteelasia.com
8081.HK	Computech Holdings
8082.HK	Sage International Group Limited
8083.HK	Syscan Technology Holdings
8085.HK	New Chinese Medicine Holdings Ltd
8086.HK	Epro
8087.HK	
8088.HK	Techpacific.com
8089.HK	Chinese Strategic Holdings Limited
8090.HK	Evi Education Asia
8091.HK	Universal Technologies Holdings Ltd
8092.HK	Ite (holdings)
8093.HK	Odella Leather Holdings Limited
8095.HK	Beijing Beida Jade Bird Universal Sci
8097.HK	Arcontech Corporation
8098.HK	Techwayson Holdings
8100.HK	M Dream Inworld Ltd
8101.HK	Iasia Technology
8102.HK	Shanghai Fudan Microelectronics Co Ltd
8103.HK	Tai Shing International Holdings Limited
8106.HK	Zheda Lande Scitech Ltd
8108.HK	Grandmass Enterprise Solution
8109.HK	Creative Energy Solutions Ltd
8111.HK	Soluteck Holdings
8112.HK	Focus Media
8113.HK	Hi-Level Technology Holdings
8115.HK	
8116.HK	Neolink Cyber Technology (holding) Ltd
8117.HK	China Advance Holding Ltd
8119.HK	Thiz Technology Group
8120.HK	China Medical Science
8121.HK	Guru Online Limited
8122.HK	Thelloy Development Group
8123.HK	StockMartnet Holdings Ltd
8125.HK	Kate China
8126.HK	G A Holdings Ltd
8127.HK	Season Pacific Holdings Limited
8128.HK	IIN International Ltd
8129.HK	Q9 Technology Holdings
8130.HK	Milkyway Image Holdings Ltd
8131.HK	Abc Multiactive
8132.HK	Panva Gas Holdings
8133.HK	Jete Power Holdings Ltd
8135.HK	ZMFY Glass
8137.HK	Jessica Publications Ltd
8138.HK	Town Health
8139.HK	Changan RH
8141.HK	KPA-BM Holdings
8143.HK	Grandy Corporation
8145.HK	TSO
8147.HK	Millennium PG
8148.HK	SJTU Sunway Software Industry
8149.HK	Xinao Gas Holdings
8150.HK	Fast Systems Technology (holdings) Ltd
8153.HK	Code Agriculture Ltd
8155.HK	Capital Publications Ltd
8156.HK	B&B Group Holdings Ltd
8158.HK	Bm Intelligence International
8159.HK	Glory Mark Hitech Holdings Ltd
8160.HK	Medination Inc
8161.HK	China Lotsynergy Holdings Ltd
8162.HK	Loco Hong Kong Holdings Limited
8163.HK	Merdeka Mobile Group Limited
8165.HK	Jian ePayment Systems Ltd
8166.HK	Linefan Technology Holdings Ltd
8167.HK	Neo Telemedia Limited
8169.HK	Eco Tek Holdings Ltd
8170.HK	
8171.HK	Quasar Communications Tech Holdings
8172.HK	Satellite Devices Corporation
8173.HK	Panorama International Holdings Ltd
8175.HK	Kanhan Technologies Group Ltd
8176.HK	EDS Wellness Holdings Limited
8177.HK	Ref Holdings
8178.HK	Xtream Software International Ltd
8179.HK	AKuP International Holdings Ltd
8181.HK	Kongshumunion
8182.HK	Sys Solutions Holdings Ltd
8186.HK	IR Resources Limited
8189.HK	Tianjin TEDA Biomedical
8190.HK	Golding Soft Ltd
8192.HK	AGL Mediatech Holding Ltd
8193.HK	
8195.HK	L&A INTL Holdings
8196.HK	Launch Tech Company Limited
8197.HK	Northeast Tiger Pharmaceutical
8198.HK	MelcoLot Limited
8200.HK	Sau San Tong Holdings Ltd
8201.HK	China Fire Safely Group Holdings
8202.HK	Inno Tech Holdings Ltd
8203.HK	Ultra Group Holdings Ltd
8205.HK	Shanghai Jiaoda Withub
8206.HK	HK6 Holding Ltd
8207.HK	
8211.HK	Zhejiang Yonglong Ent Co
8212.HK	Aptus Holdings Ltd
8213.HK	Epicurean and Company Limited
8215.HK	First Credit Holdings
8217.HK	Changan Minsheng APLL
8218.HK	Echo Int Hold
8220.HK	Vaso Digital International Holdings Ltd
8221.HK	Lees Pharmaceutical Holdings Ltd
8222.HK	E Lighting
8225.HK	Venturepharm Laboratories Ltd
8226.HK	Sonavox International Holdings Ltd
8227.HK	Xi An Haitan Antenna Tech
8228.HK	Vertex Communications & Tech Group
8229.HK	Tungda Innovative Ligthing Holdings
8230.HK	China Yu Tian Holdings Limited
8231.HK	Shanhai Fudan Zhangjiang Bio
8232.HK	China U-Ton Holdings
8233.HK	CIG Yangtze Ports PLC
8235.HK	CCID Consulting Co Ltd
8236.HK	Powerleader Science & Tech
8237.HK	Link Holdings Limited
8238.HK	Winto Group Limited
8239.HK	MP Logistics International Holdings Ltd
8240.HK	China City Railway
8242.HK	Megalogic Technology Holdings
8243.HK	Dahe Media Co Ltd
8245.HK	On Real International Holdings
8246.HK	
8247.HK	Biosino Bio-Technology & Science Inc
8248.HK	E-Rental Car Company Limited
8249.HK	Ningbo Yidong Electronic Co
8250.HK	Plasmagene Biosciences Ltd
8251.HK	Shanghai Tonva Petrochemical Ltd
8255.HK	China Binary
8256.HK	Netel Technology Holdings Ltd
8258.HK	Shaanxi Northwest New Technology
8260.HK	Pan Sino International Holdings
8261.HK	Shandong Molong Petroleum
8262.HK	Super Strong Holdings Limited
8265.HK	
8266.HK	Mobile Telecom NetworkHoldings Ltd
8267.HK	
8268.HK	
8269.HK	
8270.HK	Shine Software Holdings Ltd
8271.HK	Global Digital Creations Holdings
8272.HK	Food and Bev GP
8273.HK	Zhejiang Prospect Co Ltd
8277.HK	Wumart Stores Inc
8278.HK	
8279.HK	Megainto Holdings Ltd
8280.HK	Tianye Water Saving Irrigation System Co Ltd
8282.HK	Gameone Holdings Limited
82822.HK	
82828.HK	
8283.HK	
8286.HK	Shanxi Changcheng Microlight
8290.HK	Tianjin Tianlian Public
8292.HK	HC International Inc
8293.HK	Jinheng Automotive Safety Tech Holdings
8295.HK	Asian Capital Holding Ltd
8296.HK	Sino-Life Group Ltd
8300.HK	
8301.HK	Shenzhen Mingwah Aohan
8307.HK	
8308.HK	Gudou Holdings
8310.HK	Gammalogistic
83100.HK	
8311.HK	Perfect Opt
83118.HK	Harvest MSCI China A ETF
8312.HK	Brilliance WW
83147.HK	
8315.HK	King Force Securities Holdings Ltd
8316.HK	Pak Wing Group
8317.HK	Finet Group Ltd
8318.HK	Ching Lee Holdings
83188.HK	
8319.HK	Yusei
83199.HK	
8320.HK	C Cheng Holdins
8321.HK	
8325.HK	Oriental City Group
8326.HK	JC Group Holding
8327.HK	Top Dynamic
8328.HK	
8329.HK	Shenzhen Neptunus Interlong Bio-Tech
8331.HK	Zhejiang Shibao Company Ltd
8333.HK	
8336.HK	
8337.HK	Directel Holdings Limited
8340.HK	Vinco Financial Group Ltd
8341.HK	
8342.HK	
8345.HK	Fire Rock Holdings Limited
8346.HK	
8348.HK	Tianjin Binhai Teda Log
8349.HK	
8351.HK	36.com Holdings W0207
8352.HK	Sing On Holdings Limited
8353.HK	
8355.HK	I-Control
8356.HK	CNC Holdings Limited
8358.HK	
8359.HK	Hyperbeast
8360.HK	
8361.HK	China Parenting Network Holdings Ltd
8363.HK	SDM Group Holdings Limited
8366.HK	
8368.HK	Creative China Holdings Ltd
8369.HK	Lap Kei Engineering Holdings Ltd
8370.HK	
8411.HK	K W NELSON GP
8415.HK	
8417.HK	Dadi Education Holdings Limited
8432.HK	
87001.HK	Hui Xian Reit
